theta0,theta1
0,0
0.173394, 0.045446
0.289861, 0.069626
0.368776, 0.079876
0.422910, 0.081030
0.460679, 0.076273
0.487631, 0.067701
0.507423, 0.056697
0.522466, 0.044169
0.534350, 0.030715
0.544122, 0.016729
0.552473, 0.002468
0.559859, -0.011899
0.566581, -0.026262
0.572838, -0.040550
0.578761, -0.054716
0.584437, -0.068731
0.589924, -0.082577
0.595261, -0.096243
0.600473, -0.109722
0.605577, -0.123012
0.610585, -0.136112
0.615506, -0.149021
0.620345, -0.161741
0.625106, -0.174274
0.629793, -0.186622
0.634407, -0.198787
0.638951, -0.210771
0.643427, -0.222577
0.647835, -0.234208
0.652177, -0.245666
0.656454, -0.256953
0.660667, -0.268072
0.664817, -0.279026
0.668905, -0.289817
0.672932, -0.300447
0.676900, -0.310918
0.680808, -0.321234
0.684658, -0.331396
0.688451, -0.341407
0.692187, -0.351269
0.695868, -0.360984
0.699494, -0.370554
0.703066, -0.379981
0.706584, -0.389268
0.710050, -0.398417
0.713464, -0.407430
0.716828, -0.416308
0.720142, -0.425054
0.723406, -0.433670
0.726621, -0.442158
0.729789, -0.450519
0.732910, -0.458756
0.735984, -0.466870
0.739012, -0.474863
0.741995, -0.482737
0.744934, -0.490494
0.747829, -0.498135
0.750681, -0.505662
0.753490, -0.513077
0.756257, -0.520382
0.758983, -0.527578
0.761669, -0.534667
0.764315, -0.541650
0.766921, -0.548529
0.769488, -0.555306
0.772017, -0.561982
0.774509, -0.568558
0.776964, -0.575037
0.779382, -0.581419
0.781764, -0.587706
0.784110, -0.593900
0.786422, -0.600001
0.788699, -0.606011
0.790942, -0.611932
0.793152, -0.617765
0.795329, -0.623511
0.797473, -0.629171
0.799585, -0.634747
0.801666, -0.640240
0.803716, -0.645651
0.805736, -0.650981
0.807725, -0.656232
0.809685, -0.661405
0.811616, -0.666501
0.813518, -0.671521
0.815391, -0.676466
0.817237, -0.681338
0.819055, -0.686137
0.820846, -0.690865
0.822610, -0.695522
0.824348, -0.700110
0.826060, -0.704629
0.827747, -0.709081
0.829409, -0.713467
0.831046, -0.717788
0.832659, -0.722044
0.834247, -0.726237
0.835812, -0.730367
0.837353, -0.734436
0.838872, -0.738444
0.840368, -0.742393
0.841842, -0.746283
0.843294, -0.750115
0.844724, -0.753890
0.846133, -0.757609
0.847521, -0.761272
0.848888, -0.764881
0.850235, -0.768436
0.851562, -0.771938
0.852869, -0.775388
0.854156, -0.778786
0.855424, -0.782134
0.856673, -0.785432
0.857904, -0.788681
0.859117, -0.791881
0.860311, -0.795034
0.861488, -0.798140
0.862647, -0.801200
0.863789, -0.804214
0.864914, -0.807183
0.866022, -0.810108
0.867114, -0.812989
0.868189, -0.815827
0.869248, -0.818623
0.870292, -0.821377
0.871320, -0.824091
0.872333, -0.826764
0.873330, -0.829397
0.874313, -0.831991
0.875281, -0.834546
0.876235, -0.837063
0.877174, -0.839543
0.878099, -0.841986
0.879011, -0.844392
0.879909, -0.846763
0.880794, -0.849098
0.881666, -0.851399
0.882525, -0.853665
0.883371, -0.855898
0.884204, -0.858097
0.885025, -0.860264
0.885833, -0.862398
0.886629, -0.864501
0.887414, -0.866572
0.888187, -0.868612
0.888948, -0.870622
0.889698, -0.872602
0.890437, -0.874553
0.891165, -0.876474
0.891882, -0.878367
0.892589, -0.880232
0.893285, -0.882069
0.893971, -0.883879
0.894646, -0.885662
0.895311, -0.887418
0.895967, -0.889148
0.896613, -0.890852
0.897249, -0.892531
0.897875, -0.894185
0.898492, -0.895814
0.899100, -0.897419
0.899699, -0.899000
0.900289, -0.900557
0.900870, -0.902091
0.901443, -0.903602
0.902007, -0.905091
0.902563, -0.906558
0.903110, -0.908003
0.903649, -0.909426
0.904180, -0.910828
0.904704, -0.912209
0.905219, -0.913570
0.905727, -0.914910
0.906227, -0.916230
0.906720, -0.917531
0.907206, -0.918812
0.907684, -0.920074
0.908155, -0.921318
