theta0,theta1
0,0
6266.392994, 0.000648
6221.366677, 0.001093
6192.060731, 0.001383
6174.848541, 0.001553
6166.926443, 0.001632
6166.127973, 0.001640
6170.783460, 0.001594
6179.601234, 0.001506
6191.581220, 0.001388
6205.954464, 0.001246
6222.126969, 0.001086
6239.638659, 0.000912
6258.135296, 0.000729
6277.344721, 0.000539
6297.055257, 0.000344
6317.104904, 0.000146
6337.368383, -0.000055
6357.750655, -0.000256
6378.178280, -0.000458
6398.592939, -0.000660
6418.951433, -0.000862
6439.221360, -0.001062
6459.378962, -0.001262
6479.404799, -0.001460
6499.283751, -0.001657
6519.007178, -0.001852
6538.564280, -0.002045
6557.952897, -0.002237
6577.166549, -0.002427
6596.205237, -0.002616
6615.064641, -0.002802
6633.746920, -0.002987
6652.249915, -0.003170
6670.573625, -0.003352
6688.720211, -0.003531
6706.689673, -0.003709
6724.482010, -0.003885
6742.099384, -0.004059
6759.543953, -0.004232
6776.817878, -0.004403
6793.918999, -0.004572
6810.851636, -0.004740
6827.617950, -0.004905
6844.217939, -0.005070
6860.653764, -0.005232
6876.925426, -0.005393
6893.035084, -0.005553
6908.984898, -0.005710
6924.777028, -0.005867
6940.413635, -0.006021
6955.894718, -0.006175
6971.222438, -0.006326
6986.396794, -0.006476
7001.419946, -0.006625
7016.294055, -0.006772
7031.021280, -0.006918
7045.601622, -0.007062
7060.037241, -0.007205
7074.330296, -0.007346
7088.480788, -0.007487
7102.490876, -0.007625
7116.362722, -0.007762
7130.096324, -0.007898
7143.693843, -0.008033
7157.155278, -0.008166
7170.484951, -0.008298
7183.680700, -0.008428
7196.746847, -0.008558
7209.683390, -0.008686
7222.490330, -0.008812
7235.169828, -0.008938
7247.724042, -0.009062
7260.152974, -0.009185
7272.458782, -0.009307
7284.643628, -0.009427
7296.707511, -0.009547
7308.650431, -0.009665
7320.474548, -0.009782
7332.182023, -0.009898
7343.772855, -0.010012
7355.249204, -0.010126
7366.611070, -0.010238
7377.860614, -0.010350
7388.997835, -0.010460
7400.024894, -0.010569
7410.941790, -0.010677
7421.750684, -0.010784
7432.451575, -0.010890
7443.046623, -0.010995
7453.535829, -0.011099
7463.921353, -0.011201
7474.205354, -0.011303
7484.385673, -0.011404
7494.466629, -0.011504
7504.446063, -0.011602
7514.326135, -0.011700
7524.109004, -0.011797
7533.794671, -0.011893
7543.383136, -0.011988
7552.876559, -0.012081
7562.277099, -0.012174
7571.582597, -0.012267
7580.797374, -0.012358
7589.919267, -0.012448
7598.950439, -0.012537
7607.893049, -0.012626
7616.747097, -0.012713
7625.512582, -0.012800
7634.191666, -0.012886
7642.784347, -0.012971
7651.290627, -0.013055
7659.712664, -0.013139
7668.050460, -0.013221
7676.306173, -0.013303
7684.479805, -0.013384
7692.573515, -0.013464
7700.587303, -0.013543
7708.521169, -0.013621
7716.375113, -0.013699
7724.151296, -0.013776
7731.849716, -0.013852
7739.472535, -0.013928
7747.019752, -0.014002
7754.491367, -0.014076
7761.889541, -0.014150
7769.214272, -0.014222
7776.465562, -0.014294
7783.645571, -0.014365
7790.754298, -0.014435
7797.791743, -0.014505
7804.760066, -0.014574
7811.659268, -0.014642
7818.489348, -0.014710
7825.252467, -0.014776
7831.948624, -0.014843
7838.577819, -0.014908
7845.140053, -0.014973
7851.637485, -0.015038
7858.070116, -0.015101
7864.440106, -0.015164
7870.745293, -0.015227
7876.990000, -0.015288
7883.172065, -0.015350
7889.291488, -0.015410
7895.350431, -0.015470
7901.348891, -0.015529
7907.289031, -0.015588
7913.170848, -0.015646
7918.994345, -0.015704
7924.759520, -0.015761
7930.466374, -0.015817
7936.117067, -0.015873
7941.711598, -0.015929
7947.249968, -0.015984
7952.734336, -0.016038
7958.164704, -0.016092
7963.541070, -0.016145
7968.863435, -0.016197
7974.133958, -0.016250
7979.350481, -0.016301
7984.515162, -0.016352
7989.630162, -0.016403
7994.693320, -0.016453
7999.706798, -0.016503
8004.670594, -0.016552
8009.584710, -0.016600
8014.449144, -0.016648
8019.266057, -0.016696
8024.035448, -0.016743
8028.757319, -0.016790
8033.431669, -0.016836
8038.060657, -0.016882
8042.644285, -0.016927
8047.180391, -0.016972
8051.673297, -0.017017
8056.120841, -0.017061
8060.525184, -0.017104
8064.884166, -0.017147
8069.199948, -0.017190
8073.472528, -0.017232
8077.704067, -0.017274
8081.892405, -0.017316
8086.039703, -0.017357
8090.145959, -0.017397
8094.211174, -0.017438
8098.235349, -0.017477
8102.220642, -0.017517
8106.167055, -0.017556
8110.072426, -0.017595
8113.941077, -0.017633
8117.770847, -0.017671
8121.561736, -0.017708
8125.315904, -0.017745
8129.031191, -0.017782
8132.709757, -0.017819
8136.351603, -0.017855
8139.958887, -0.017890
8143.529451, -0.017926
8147.065454, -0.017961
8150.564736, -0.017995
8154.029457, -0.018030
8157.459618, -0.018063
8160.857377, -0.018097
8164.220576, -0.018130
8167.551374, -0.018163
8170.847612, -0.018196
8174.111448, -0.018228
8177.342884, -0.018260
8180.541919, -0.018292
8183.710713, -0.018323
8186.847107, -0.018354
8189.953260, -0.018385
8193.027012, -0.018415
8196.070523, -0.018446
8199.083794, -0.018475
8202.066824, -0.018505
8205.021773, -0.018534
8207.946482, -0.018563
8210.843110, -0.018592
8213.709497, -0.018620
8216.547803, -0.018648
8219.358029, -0.018676
8222.140174, -0.018703
8224.894239, -0.018731
8227.622383, -0.018758
8230.322446, -0.018784
8232.996589, -0.018811
8235.644811, -0.018837
8238.264953, -0.018863
8240.859173, -0.018889
8243.427474, -0.018914
8245.972013, -0.018939
8248.490632, -0.018964
8250.983331, -0.018989
8253.452269, -0.019013
8255.897446, -0.019037
