theta0,theta1
0,0
0.115596, 0.030297
0.205891, 0.051143
0.276626, 0.064711
0.332237, 0.072680
0.376152, 0.076348
0.411020, 0.076718
0.438888, 0.074563
0.461337, 0.070481
0.479591, 0.064935
0.494593, 0.058281
0.507074, 0.050794
0.517598, 0.042687
0.526601, 0.034124
0.534420, 0.025231
0.541315, 0.016106
0.547488, 0.006824
0.553095, -0.002557
0.558256, -0.011993
0.563065, -0.021450
0.567593, -0.030901
0.571896, -0.040326
0.576017, -0.049710
0.579989, -0.059042
0.583839, -0.068313
0.587587, -0.077516
0.591248, -0.086647
0.594834, -0.095701
0.598355, -0.104677
0.601818, -0.113572
0.605229, -0.122386
0.608592, -0.131117
0.611912, -0.139766
0.615190, -0.148332
0.618430, -0.156815
0.621633, -0.165216
0.624800, -0.173535
0.627933, -0.181772
0.631032, -0.189928
0.634099, -0.198004
0.637134, -0.206001
0.640138, -0.213918
0.643111, -0.221757
0.646054, -0.229519
0.648967, -0.237204
0.651851, -0.244813
0.654706, -0.252346
0.657533, -0.259804
0.660331, -0.267188
0.663101, -0.274499
0.665844, -0.281738
0.668559, -0.288905
0.671248, -0.296001
0.673910, -0.303026
0.676545, -0.309981
0.679154, -0.316867
0.681737, -0.323685
0.684294, -0.330435
0.686826, -0.337118
0.689333, -0.343735
0.691815, -0.350286
0.694272, -0.356772
0.696705, -0.363194
0.699114, -0.369552
0.701499, -0.375847
0.703860, -0.382079
0.706198, -0.388250
0.708513, -0.394359
0.710804, -0.400408
0.713073, -0.406397
0.715319, -0.412326
0.717543, -0.418196
0.719745, -0.424008
0.721925, -0.429762
0.724083, -0.435459
0.726220, -0.441100
0.728336, -0.446685
0.730431, -0.452214
0.732505, -0.457688
0.734558, -0.463108
0.736591, -0.468474
0.738604, -0.473787
0.740597, -0.479047
0.742570, -0.484255
0.744523, -0.489411
0.746457, -0.494516
0.748372, -0.499570
0.750268, -0.504574
0.752145, -0.509528
0.754003, -0.514433
0.755843, -0.519289
0.757665, -0.524097
0.759469, -0.528858
0.761255, -0.533571
0.763023, -0.538238
0.764773, -0.542858
0.766506, -0.547432
0.768222, -0.551961
0.769921, -0.556445
0.771603, -0.560884
0.773268, -0.565279
0.774916, -0.569631
0.776548, -0.573939
0.778164, -0.578205
0.779764, -0.582428
0.781348, -0.586609
0.782916, -0.590749
0.784469, -0.594848
0.786006, -0.598906
0.787528, -0.602924
0.789035, -0.606902
0.790527, -0.610840
0.792004, -0.614739
0.793467, -0.618599
0.794915, -0.622421
0.796349, -0.626205
0.797769, -0.629952
0.799174, -0.633662
0.800565, -0.637335
0.801943, -0.640971
0.803307, -0.644571
0.804657, -0.648135
0.805994, -0.651664
0.807318, -0.655158
